anio,motivo,nada,poco,bastante,mucho,total%,total_cias,formacion
2019,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,12.4,37.4,42.6,7.6,100.0,20959,TRUE
2019,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",18.0,40.8,34.4,6.8,100.0,20959,TRUE
2019,Dificultad para evaluar la necesidades de formación de la empresa,28.0,57.5,12.9,1.6,100.0,20959,TRUE
2019,La falta de cursos de formación adecuados en el mercado,23.6,50.1,22.2,4.1,100.0,20959,TRUE
2019,El alto coste de los cursos de formación,16.9,43.9,30.8,8.5,100.0,20959,TRUE
2019,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,20.6,55.0,21.6,2.7,100.0,20959,TRUE
2019,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,8.0,26.5,44.4,21.1,100.0,20959,TRUE
2019,Dificultad para acceder a ayudas o subvenciones públicas,21.4,48.9,21.9,7.8,100.0,20959,TRUE
2020,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,13.3,21.4,56.1,9.2,100.0,18932,TRUE
2020,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",28.6,33.1,32.2,6.0,100.0,18932,TRUE
2020,Dificultad para evaluar la necesidades de formación de la empresa,33.7,51.2,13.6,1.5,100.0,18932,TRUE
2020,La falta de cursos de formación adecuados en el mercado,29.9,47.1,19.6,3.5,100.0,18932,TRUE
2020,El alto coste de los cursos de formación,23.9,42.0,26.8,7.3,100.0,18932,TRUE
2020,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,35.4,40.2,22.5,1.9,100.0,18932,TRUE
2020,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,17.2,30.5,40.9,11.4,100.0,18932,TRUE
2020,Dificultad para acceder a ayudas o subvenciones públicas,30.7,41.9,20.9,6.5,100.0,18932,TRUE
2021,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,9.5,31.3,51.2,8.1,100.0,19490,TRUE
2021,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",17.4,39.7,36.9,6.1,100.0,19490,TRUE
2021,Dificultad para evaluar la necesidades de formación de la empresa,26.1,59.9,12.7,1.3,100.0,19490,TRUE
2021,La falta de cursos de formación adecuados en el mercado,23.9,55.1,17.6,3.4,100.0,19490,TRUE
2021,El alto coste de los cursos de formación,16.9,46.7,28.8,7.6,100.0,19490,TRUE
2021,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,28.0,48.1,22.0,1.9,100.0,19490,TRUE
2021,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,12.5,34.9,39.1,13.5,100.0,19490,TRUE
2021,Dificultad para acceder a ayudas o subvenciones públicas,26.1,45.6,22.3,6.0,100.0,19490,TRUE
2022,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,8.5,25.3,57.9,8.3,100.0,21497,TRUE
2022,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",15.7,35.8,42.5,6.0,100.0,21497,TRUE
2022,Dificultad para evaluar la necesidades de formación de la empresa,25.7,58.7,14.4,1.2,100.0,21497,TRUE
2022,La falta de cursos de formación adecuados en el mercado,23.8,53.4,20.0,2.8,100.0,21497,TRUE
2022,El alto coste de los cursos de formación,18.9,43.6,30.3,7.3,100.0,21497,TRUE
2022,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,28.1,46.1,24.0,1.8,100.0,21497,TRUE
2022,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,12.9,31.9,43.7,11.5,100.0,21497,TRUE
2022,Dificultad para acceder a ayudas o subvenciones públicas,27.0,46.1,22.2,4.7,100.0,21497,TRUE
2023,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,8.1,24.8,57.5,9.6,100.0,22869,TRUE
2023,"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",16.1,35.1,40.1,8.6,100.0,22869,TRUE
2023,Dificultad para evaluar la necesidades de formación de la empresa,24.5,57.8,15.7,2.0,100.0,22869,TRUE
2023,La falta de cursos de formación adecuados en el mercado,22.4,53.4,19.8,4.4,100.0,22869,TRUE
2023,El alto coste de los cursos de formación,17.6,43.3,31.1,8.0,100.0,22869,TRUE
2023,La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,65.1,28.0,6.3,0.6,100.0,22869,TRUE
2023,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,27.5,48.1,22.1,2.2,100.0,22869,TRUE
2023,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,10.2,34.3,42.5,13.0,100.0,22869,TRUE
2023,Dificultad para acceder a ayudas o subvenciones públicas,24.6,46.8,22.3,6.3,100.0,22869,TRUE
2023,Otras razones,61.3,30.2,6.5,2.0,100.0,22869,TRUE
