anio,motivo,nada,poco,bastante,mucho,total%,total_cias,formacion
2019,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,13.2,28.5,45.0,13.3,100.0,172287,TRUE
2019,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",24.6,29.0,35.8,10.6,100.0,172287,TRUE
2019,Dificultad para evaluar la necesidades de formación de la empresa,30.5,55.0,13.0,1.6,100.0,172287,TRUE
2019,La falta de cursos de formación adecuados en el mercado,25.5,46.2,22.1,6.2,100.0,172287,TRUE
2019,El alto coste de los cursos de formación,19.9,34.4,32.6,13.1,100.0,172287,TRUE
2019,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,25.9,49.8,21.1,3.3,100.0,172287,TRUE
2019,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,10.8,26.2,42.0,21.0,100.0,172287,TRUE
2019,Dificultad para acceder a ayudas o subvenciones públicas,19.1,36.7,29.0,15.2,100.0,172287,TRUE
2020,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,13.2,28.5,45.0,13.3,100.0,129840,TRUE
2020,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",24.6,29.0,35.8,10.6,100.0,129840,TRUE
2020,Dificultad para evaluar la necesidades de formación de la empresa,30.5,55.0,13.0,1.6,100.0,129840,TRUE
2020,La falta de cursos de formación adecuados en el mercado,25.5,46.2,22.1,6.2,100.0,129840,TRUE
2020,El alto coste de los cursos de formación,19.9,34.4,32.6,13.1,100.0,129840,TRUE
2020,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,25.9,49.8,21.1,3.3,100.0,129840,TRUE
2020,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,10.8,26.2,42.0,21.0,100.0,129840,TRUE
2020,Dificultad para acceder a ayudas o subvenciones públicas,19.1,36.7,29.0,15.2,100.0,129840,TRUE
2021,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,8.6,21.5,52.9,17.1,100.0,148816,TRUE
2021,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",22.6,28.8,36.9,11.8,100.0,148816,TRUE
2021,Dificultad para evaluar la necesidades de formación de la empresa,31.2,50.8,16.2,1.8,100.0,148816,TRUE
2021,La falta de cursos de formación adecuados en el mercado,30.2,42.3,21.6,5.9,100.0,148816,TRUE
2021,El alto coste de los cursos de formación,22.4,37.5,29.9,10.2,100.0,148816,TRUE
2021,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,32.7,41.7,22.6,3.1,100.0,148816,TRUE
2021,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,15.9,31.2,39.4,13.6,100.0,148816,TRUE
2021,Dificultad para acceder a ayudas o subvenciones públicas,23.1,37.8,28.3,10.7,100.0,148816,TRUE
2022,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,6.8,18.5,58.9,15.9,100.0,167270,TRUE
2022,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",17.8,27.6,43.0,11.6,100.0,167270,TRUE
2022,Dificultad para evaluar la necesidades de formación de la empresa,25.6,57.6,14.5,2.3,100.0,167270,TRUE
2022,La falta de cursos de formación adecuados en el mercado,22.5,47.6,23.8,6.1,100.0,167270,TRUE
2022,El alto coste de los cursos de formación,16.5,39.0,32.7,11.8,100.0,167270,TRUE
2022,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,28.0,42.1,27.5,2.4,100.0,167270,TRUE
2022,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,11.9,32.0,41.5,14.6,100.0,167270,TRUE
2022,Dificultad para acceder a ayudas o subvenciones públicas,19.5,38.0,30.0,12.5,100.0,167270,TRUE
2023,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,13.7,13.6,47.2,25.6,100.0,176089,TRUE
2023,"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",21.5,17.0,42.3,19.2,100.0,176089,TRUE
2023,Dificultad para evaluar la necesidades de formación de la empresa,33.3,43.1,19.9,3.7,100.0,176089,TRUE
2023,La falta de cursos de formación adecuados en el mercado,29.7,37.7,24.0,8.6,100.0,176089,TRUE
2023,El alto coste de los cursos de formación,28.5,30.6,29.7,11.2,100.0,176089,TRUE
2023,La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,68.3,20.5,9.1,2.1,100.0,176089,TRUE
2023,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,39.5,35.4,20.6,4.5,100.0,176089,TRUE
2023,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,24.9,27.3,36.3,11.6,100.0,176089,TRUE
2023,Dificultad para acceder a ayudas o subvenciones públicas,31.4,27.6,27.0,14.0,100.0,176089,TRUE
2023,Otras razones,68.3,20.5,9.1,2.1,100.0,176089,TRUE
