anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,MUCHO
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100.0,13.241,13.026,47.034,26.699
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN","La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias",100.0,22.492,15.961,42.408,19.139
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Dificultad para evaluar la necesidades de formación de la empresa,100.0,34.482,43.432,18.482,3.604
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La falta de cursos de formación adecuados en el mercado,100.0,30.779,37.822,23.197,8.202
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El alto coste de los cursos de formación,100.0,29.704,30.409,28.722,11.164
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores,100.0,69.621,19.825,8.522,2.033
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100.0,38.805,35.16,20.893,5.142
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100.0,25.779,26.965,34.846,12.41
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Dificultad para acceder a ayudas o subvenciones públicas,100.0,31.62,28.236,26.333,13.81
2023,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Otras razones,100.0,56.22,23.577,14.296,5.907
