ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-C1. EMPRESAS  Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,
Año 2022,,,,,,
,TOTAL EMPRESAS,TOTAL TRABAJADORES,VARONES,MUJERES,DISTRIBUCIÓN PORCENTUAL,
,,,,,Varones,Mujeres
TOTAL,334703,9874756,5833500,4041256,59.1,40.9
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,171906,1114030,648375,465655,58.2,41.8
De 10 a 49 trabajadores,138250,2695614,1735966,959648,64.4,35.6
De 50 a 249 trabajadores,20534,2034616,1289742,744874,63.4,36.6
De 250 a 499 trabajadores,2213,758462,447351,311111,59,41
Más de 499 trabajadores,1800,3272034,1712066,1559968,52.3,47.7
ACTIVIDAD ECONÓMICA,,,,,,
Industria,52003,1994713,1455622,539091,73,27
Construcción,42627,741950,657548,84402,88.6,11.4
Comercio y reparación de vehículos,78417,2063597,1033181,1030416,50.1,49.9
Transporte y almacenamiento,19308,684706,516465,168241,75.4,24.6
Hostelería,59671,1072798,498284,574514,46.4,53.6
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",16991,874806,508691,366115,58.1,41.9
"Actividades profesionales, científicas y técnicas",25982,670695,329510,341185,49.1,50.9
Actividades administrativas y servicios auxiliares,18647,1360227,631534,728693,46.4,53.6
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",21057,411264,202665,208599,49.3,50.7
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,51772,1029346,650800,378546,63.2,36.8
Aragón ,9507,243137,157232,85905,64.7,35.3
Asturias (Principado de),6004,139970,88781,51189,63.4,36.6
Balears (Illes),10489,246888,143629,103259,58.2,41.8
Canarias ,16018,355581,205528,150053,57.8,42.2
Cantabria ,3798,86336,53546,32790,62,38
Castilla-La Mancha,12481,249585,168697,80888,67.6,32.4
Castilla y León,14629,318440,193780,124660,60.9,39.1
Cataluña ,63638,1992545,1124336,868209,56.4,43.6
Comunitat Valenciana ,37786,1004077,586319,417758,58.4,41.6
Extremadura ,5716,105304,66526,38778,63.2,36.8
Galicia ,18071,436867,243494,193373,55.7,44.3
Madrid (Comunidad de),50740,2735417,1553099,1182318,56.8,43.2
Murcia (Región de),10865,252157,160167,91990,63.5,36.5
Navarra (Comunidad Foral de),4636,140080,91713,48367,65.5,34.5
País Vasco ,16087,487729,313317,174412,64.2,35.8
"Rioja, La",2466,51297,32536,18761,63.4,36.6
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2022.,,,,,,
Los datos de trabajadores de esta tabla se han calculado promediando los valores del último día de cada mes del Año 2022 en los que la empresa ha estado activa y sumando para todas las empresas del marco.,,,,,,
