ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-M1. ERRORES DE MUESTREO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,
Año 2022. Coeficientes de variación en porcentaje,,,
,EMPRESAS QUE HAN APLICADO  MEDIDAS DE FLEXIBLIDAD INTERNA SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE HAN PROPORCIONADO FORMACIÓN A SUS TRABAJADORES SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE PREVÉN UN AUMENTO DE SU PLANTILLA EN UN AÑO SOBRE EL TOTAL DE EMPRESAS
TOTAL,2.60709715795913,1.09283206275259,3.352914933166885
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,4.377209507860545,2.029304994906471,6.654441029078568
De 10 a 49 trabajadores,3.6138913701177473,1.3051887927016237,4.308763094792862
De 50 a 249 trabajadores,2.906016099575538,0.5475048433488591,3.215192740418893
De 250 a 499 trabajadores,3.4864232971555156,0.6554308677397723,4.196170029237174
Más de 499 trabajadores,0.7520988699774337,0.08898128267796329,0.9278162748528046
ACTIVIDAD ECONÓMICA,,,
Industria,4.977589533355613,1.6938768876161021,5.7219562025194755
Construcción,6.122790333109793,1.9010441126195137,6.732655232551561
Comercio y reparación de vehículos,7.389662449142108,3.0210553768338726,9.430198573770491
Transporte y almacenamiento,10.784163221994213,3.018057568507428,10.57133279638919
Hostelería,5.981813006472192,4.323513108513006,12.39002628137803
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",10.869202940488702,3.182325042513532,8.845010077097108
"Actividades profesionales, científicas y técnicas",8.895550320313681,2.2948786282573312,8.651114828658587
Actividades administrativas y servicios auxiliares,5.4873981221647155,2.9135094661868957,7.413347085347481
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",6.455873558027009,3.612868732074844,12.145030488264851
COMUNIDAD AUTÓNOMA,,,
Andalucía ,6.390652516640709,3.5540420460013844,10.427917095417381
Aragón ,9.771810928872828,3.2630461961966324,11.741661599200121
Asturias (Principado de),10.105672971799427,4.398590893424694,13.233958975643393
Balears (Illes),8.175936364305985,3.9511012668595233,11.237132852382128
Canarias ,8.95256058565054,4.978874742958302,12.353178314344397
Cantabria ,11.116838902669055,3.749911588116936,14.058087784475271
Castilla-La Mancha,8.367173455050644,2.991033070975596,12.120061935146744
Castilla y León,9.79435191250857,3.6971726531585043,11.704744958635919
Cataluña ,7.916938504691903,2.9703656939279792,8.302098870999776
Comunitat Valenciana ,7.8382056213375515,3.532750439264724,10.088345778807078
Extremadura ,8.227347226719745,3.9972868779895565,13.850660479399998
Galicia ,9.085461248906816,3.45569716703259,11.402631843343018
Madrid (Comunidad de),7.353022482487886,2.8374000110329445,8.757563961157857
Murcia (Región de),10.311587849320098,4.037877577152424,12.045617437004728
Navarra (Comunidad Foral de),9.800478052184951,3.5491030143687894,12.671108660359085
País Vasco ,12.374416562587758,3.9307413235038613,11.910592721113057
"Rioja, La",8.883760053310155,3.6106398332520273,12.682850182353251
