ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-18. EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2022. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,,NO DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,
,Total,Proporcionaron formación (1),No proporcionaron formación (1),Total,Proporcionaron formación (2),No proporcionaron formación (2)
TOTAL,24.669632480139107,91.55746639215211,8.442533607847887,75.33036751986089,64.22998972764374,35.770406888427935
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,18.810861750026177,85.57380090917525,14.426199090824753,81.18913824997382,57.51205496922669,42.48722853928881
De 10 a 49 trabajadores,27.436528028933093,94.32390393082176,5.676096069178245,72.5634719710669,70.32566114096034,29.674338859039665
De 50 a 249 trabajadores,47.769552936592966,98.5727393210317,1.4272606789682944,52.230447063407034,90.3962703962704,9.603729603729604
De 250 a 499 trabajadores,59.51197469498418,99.46848899012907,0.6074411541381929,40.48802530501582,91.96428571428571,7.924107142857143
Más de 499 trabajadores,65.27777777777777,99.57446808510639,0.3404255319148936,34.72222222222222,96.96,3.04
ACTIVIDAD ECONÓMICA,,,,,,
Industria,25.77159010057112,92.4190419340397,7.580958065960305,74.22840989942888,66.24698841998912,33.75301158001088
Construcción,25.54953433269993,91.6261133045634,8.3738866954366,74.45046566730007,70.3239223594656,29.679228636249054
Comercio y reparación de vehículos,21.04008059476899,91.42978362324989,8.576277350142433,78.959919405231,61.77363609935721,38.22636390064279
Transporte y almacenamiento,22.32753262896209,94.64161447459986,5.35838552540014,77.67246737103791,71.43428685737148,28.565713142628525
Hostelería,20.889544334768985,81.26754913758523,18.732450862414762,79.11045566523102,51.85569630979113,48.14430369020887
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",30.221882172915073,97.77994157740993,2.220058422590068,69.77811782708493,71.693657219973,28.30634278002699
"Actividades profesionales, científicas y técnicas",36.57917019475021,95.72811447811448,4.271885521885522,63.42082980524979,78.69280252457823,21.307197475421773
Actividades administrativas y servicios auxiliares,26.561913444521906,95.86109428629113,4.138905713708863,73.4380865554781,68.24156564918943,31.758434350810575
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",25.692168874958448,93.77079482439926,6.22920517560074,74.30783112504156,62.64459640825717,37.3490125902729
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,23.80050992814649,89.7256938808635,10.274306119136504,76.19949007185352,62.32953105196451,37.67046894803549
Aragón ,26.254338908172926,94.27083333333333,5.729166666666667,73.74566109182707,66.02481814291828,33.97518185708173
Asturias (Principado de),20.55296469020653,91.49108589951378,8.508914100486225,79.44703530979348,57.56813417190776,42.45283018867924
Balears (Illes),21.241300409953283,90.48473967684022,9.515260323159785,78.75869959004672,60.912722430698466,39.087277569301534
Canarias ,15.900861530777874,96.50569297212407,3.4943070278759323,84.09913846922213,52.3197980847747,47.6802019152253
Cantabria ,22.406529752501317,84.84136310223266,15.158636897767332,77.59347024749869,65.9993213437394,34.000678656260604
Castilla-La Mancha,27.585930614534092,83.47371478361893,16.526285216381062,72.41406938546591,70.00442575791104,29.995574242088956
Castilla y León,21.676122769840727,92.3683380637023,7.631661936297698,78.32387723015927,66.96631174725083,33.03368825274917
Cataluña ,27.320154624595368,89.49729667548603,10.502703324513977,72.67984537540464,69.26403182565079,30.735968174349217
Comunitat Valenciana ,22.630074630815646,92.84294234592446,7.157057654075547,77.36992536918436,58.050282195997944,41.949717804002056
Extremadura ,20.066480055983206,87.61987794245859,12.467306015693113,79.9335199440168,62.57386736703874,37.42613263296126
Galicia ,25.19506391455924,93.16933889743026,6.830661102569734,74.80493608544076,67.14750702766682,32.85249297233319
Madrid (Comunidad de),28.387859676783602,95.64704248819773,4.352957511802277,71.6121403232164,67.99042272126816,32.00957727873184
Murcia (Región de),20.165669581224115,89.00045641259699,11.04518484710178,79.83433041877589,64.8950887710399,35.10491122896011
Navarra (Comunidad Foral de),27.30802415875755,94.15481832543443,5.845181674565561,72.69197584124245,64.45103857566765,35.54896142433235
País Vasco ,26.69236029091813,91.61620866325104,8.383791336748953,73.30763970908187,61.66369880437548,38.33630119562452
"Rioja, La",19.708029197080293,95.26748971193416,4.938271604938271,80.2919708029197,62.323232323232325,37.676767676767675
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que detectaron necesidades formativas de su personal.,,,,,,
(2) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que no detectaron necesidades formativas de su personal.,,,,,,
